"","date","r0_low","r0_high"
"1",2020-02-11,NA,NA
"2",2020-02-10,2.8082271912587,3.24625135144053
"3",2020-02-09,2.83836274008988,3.28467778789193
"4",2020-02-08,2.87654486542225,3.33339516778036
"5",2020-02-07,2.89963872843081,3.36287746407901
"6",2020-02-06,2.91934182104901,3.38804061837823
"7",2020-02-05,2.93800464078638,3.41188330518565
"8",2020-02-04,2.95305095848699,3.43111140597946
"9",2020-02-03,2.97047643020282,3.45338617383754
"10",2020-02-02,2.98244876496993,3.46869414267936
"11",2020-02-01,2.99170973410687,3.48053748153887
"12",2020-01-31,3.00132430761908,3.49283500382185
"13",2020-01-30,3.00134119877289,3.49285661022399
"14",2020-01-29,2.98953239984303,3.47775284127488
"15",2020-01-28,2.96678075299052,3.44866147408183
"16",2020-01-27,2.93969208742877,3.41403948792329
"17",2020-01-26,2.90014911045812,3.36352917038157
"18",2020-01-25,2.79409045019027,3.2282327539805
"19",2020-01-24,2.7385685005703,3.1575116063292
"20",2020-01-23,2.64020552393541,3.03241003032604
"21",2020-01-22,2.50154387758992,2.85648583654587
"22",2020-01-21,2.40958664085171,2.74011195583574
"23",2020-01-20,2.30093522055856,2.6029345417183
"24",2020-01-19,NA,NA
"25",2020-01-18,NA,NA
"26",2020-01-17,NA,NA
"27",2020-01-16,NA,NA
"28",2020-01-15,NA,NA
"29",2020-01-14,NA,NA
"30",2020-01-13,NA,NA
"31",2020-01-12,NA,NA
"32",2020-01-11,NA,NA
